ID;YEAR;AREA;BOX;ID.area.box.year;STATUS;LD;Lay.start;Lay.end;CS;Inc.start;Inc.end;Lay.end2;HS;HD;HD.calc;Inc.length;Nes.start;Nes.end;Fle.start;Fle.end;FLEDGE;CSDIFF;RECRUIT;NEWRECRUIT;SUCCESS;LOSS_LAY;LOSS_INC;LOSS_NEST;LOSS_NA;EXP;SPM;MRING;M.HATCH.YEAR;AGEM;SURVM;TARSM;WINGM;WGTM;DATEM;SPF;FRING;F.HATCH.YEAR;AGEF;SURVF;TARSF;WINGF;WGTF;DATEF;TIMEF;;;;;;;;;;;;;;;;;;;;
2009943;2009;ET;18;ET18_2009;T;2;121;131;10;131;142;11;8;24;;13;143;158;159;172;7;3;0;0;1;;;;;NOT;;;;;;;;;;HB;CE04066;;2.5;0;;;;;;;;;;;;;;;;;;;;;;;;;
2006316;2006;FO;2C;FO2C_2006;T;5;124;130;6;130;141;10;6;;22;;142;157;158;171;2;4;0;0;1;;;;;NOT;;;;;;;;;;HB;BY66696;;3.5;0;20.9;86;17.3;49;13;;;;;;;;;;;;;;;;;;;;
2002085;2002;GR;22;GR22_2002;T;7;126;132;6;132;143;12;0;;;;144;159;160;173;0;6;0;0;0;;1;;;NOT;;;;;;;;;;HY;BN88231;1999;3;0;19.9;77;16.1;18;16;;;;;;;;;;;;;;;;;;;;
1993097;1993;FK;30;FK30_1993;T;7;126;132;6;132;143;12;;25;;13;144;159;160;173;6;0;2;2;1;;;;;NOT;;;;;;;;;;HB;BA97613;1991;2;1;19.4;80;13.3;34;;;;;;;;;;;;;;;;;;;;;
2002686;2002;FO;67;FO67_2002;P;7;126;132;6;132;143;12;5;25;;13;144;159;160;173;;;2;2;1;;;;;NOT;HB;BX29108;;2.5;0;19.8;82;12.5;38;HB;BX29000;;2.5;0;20.0;82;16.5;25;12;;;;;;;;;;;;;;;;;;;;
2008381;2008;GA;29;GA29_2008;M;7;127;133;6;133;144;12;6;26;;14;145;160;161;174;5;1;0;0;1;;;;;NOT;HB;CC48378;;3.5;0;19.7;85;13.3;33;HB;CE05241;;3.5;1;19.8;82;14.3;23;10;;;;;;;;;;;;;;;;;;;;
2008622;2008;SL;17;SL17_2008;M;7;127;133;6;133;144;12;6;27;;15;145;160;161;174;6;0;2;2;1;;;;;NOT;HB;CG35122;;2.5;1;20.3;83;13.6;33;HB;CG34333;;1;1;19.5;81;16.3;23;17;;;;;;;;;;;;;;;;;;;;
2000573;2000;FP;21B;FP21B_2000;M;7;127;133;6;133;144;12;;26;;14;145;160;161;174;;;0;0;;;;;;NOT;HB;BJ85552;;5;0;18.7;84;11.9;;HB;BJ85305;1996;4;0;17.6;82;13.4;;;;;;;;;;;;;;;;;;;;;;
2000195;2000;GR;10;GR10_2000;M;7;127;134;7;134;145;13;7;27;;14;146;161;162;175;1;6;0;0;1;;;;;NOT;HB;BM49944;;4.5;0;19.4;84;13.6;33;HB;BM50366;1999;1;0;19.2;81;14.7;33;;;;;;;;;;;;;;;;;;;;;
2000317;2000;BJ;G9;BJG9_2000;M;7;127;134;7;134;145;13;6;26;;13;146;161;162;175;6;1;0;0;1;;;;;NOT;HB;BP09681;;2.5;0;18.9;85;;;HB;BP09602;;1;0;19.4;80;;;;;;;;;;;;;;;;;;;;;;;
