AREA;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
FA;14;8;20;20;15;15;17;16;18;22;19;20;17;19;17;22;10;14;14;20;15;14;14;9;14;20;24;22;30;28;29;23;30;43;44;39;31;31;22;22
FP;47;64;74;65;65;58;64;33;56;74;67;41;53;60;64;66;66;43;55;52;52;51;46;46;49;52;53;46;24;25;11;14;29;36;39;38;30;35;35;32
OJ;58;86;61;65;66;67;67;61;67;81;63;74;57;57;53;65;48;46;52;45;55;48;51;45;42;48;53;48;36;42;32;42;28;38;44;32;38;41;36;38
GR;0;27;30;27;28;28;26;22;29;28;29;24;19;18;22;24;13;19;22;23;26;23;19;23;13;16;20;24;21;28;21;47;20;22;25;17;18;25;20;19
FO;0;0;26;35;48;51;50;54;45;67;61;49;41;49;49;67;58;36;46;36;43;34;34;42;48;60;56;45;45;40;16;31;46;39;56;42;36;39;28;49
FK;0;0;20;34;43;41;46;42;38;50;43;45;42;37;37;34;40;40;39;48;40;39;31;20;28;32;34;44;40;40;34;45;44;36;41;34;28;29;16;18
BJ;0;0;6;0;20;21;24;17;16;17;17;25;16;26;30;32;23;22;32;34;37;19;28;21;18;7;28;28;26;27;25;28;19;16;20;15;16;15;0;0
BS;0;0;0;0;0;0;11;15;11;16;11;11;7;19;25;24;0;22;29;28;37;19;15;17;16;22;27;32;22;32;21;37;29;35;28;23;15;13;7;1
AN;0;0;0;0;0;0;5;7;4;3;4;7;4;16;19;19;13;9;14;24;26;11;13;7;14;15;32;22;27;24;25;25;33;31;38;30;26;25;22;19
RO;0;0;0;0;0;0;5;9;5;12;5;10;7;17;18;16;6;15;12;12;20;12;15;18;15;10;23;28;25;38;30;25;16;16;27;20;16;18;9;5
OL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;10;17;18;16;13;12;9;7
BK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;12;14;11;14;11;7;6
RN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;23;35;29;31;26;25;21;19
KT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;10;8;7;8;8;4;7
RM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;21;16;12;10;17;11;14
RS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;15;22;15;10;8;7;11
SUMA;119;185;237;246;285;281;315;276;289;370;319;306;263;318;334;369;277;266;315;322;351;270;266;248;257;282;350;339;296;324;244;360;351;422;469;382;335;352;254;267
